ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus
259,8793,89.81,4,2.18,90.31,19,3.88,9.51,9,98.65,0,4556.23,26,6.47,453.07,Non Defect
259,17692,96.64,2,4.38,64.66,14,4.78,2.65,4,97.79,9,1552.83,38,6.29,456.36,Non Defect
259,7838,85.15,5,2.03,90.53,20,3.08,5.04,3,93.11,3,2466.24,32,5.71,404.87,Non Defect
259,11544,95.43,3,4.04,68.08,10,1.35,4.32,9,95.52,9,3935.59,29,3.52,277.76,Non Defect
260,8061,80.32,3,0.97,98.6,21,3.65,6.61,5,90.95,4,1495.76,33,4.62,423.01,Non Defect
260,5520,85.88,5,3.24,80.45,2,1.1,8.82,5,85.46,2,1550.74,43,8.68,370.87,Non Defect
260,12611,85.2,0,3.51,94.93,5,1.26,7.07,6,80.3,4,3873.15,24,8.09,302.56,Non Defect
260,13957,87.41,4,0.86,81.74,17,3.04,3.97,9,84.63,0,3058.03,42,8.54,239.88,Non Defect
260,18998,89.96,0,2.02,98.66,11,3.56,3.51,2,96.13,8,1768.66,12,5.99,225.24,Non Defect
260,18536,94.29,0,4.88,80.04,7,4.56,7.39,9,85.06,2,1582.01,42,6.14,192.31,Non Defect
260,11162,95.05,1,3.44,89.16,16,1.3,8.63,3,86.95,0,3154.22,13,4.32,237.78,Non Defect
260,5003,80.62,0,3.32,82.67,18,2.26,7.88,3,87.17,1,1255.66,36,5.04,259.43,Non Defect
261,11319,81.28,4,2.11,72.39,1,4.19,8.5,8,88.87,8,2035.35,21,8.63,135.85,Non Defect
261,6424,95.88,4,4.69,86.15,18,2.35,3.92,4,96.38,2,1911.5,25,8.11,134.43,Defect
261,8450,88.89,0,2.29,69.52,19,1.62,5.79,6,91.38,0,3889.8,10,8.72,280.85,Non Defect
262,6185,95.32,1,3.15,88.21,17,4.72,4.67,5,83.75,9,3818.08,47,7.68,409.4,Non Defect
262,8702,97.03,4,1.85,66.8,23,4,7.67,7,93.42,4,4070.04,39,3.66,112.2,Non Defect
262,11170,85.13,3,1.45,76.95,10,1.44,7.84,7,90.67,5,3662.9,40,7.45,477.22,Non Defect
262,13726,96.41,4,1.26,82.55,14,1.2,9.2,9,83.37,4,4032.51,45,8.8,366.75,Non Defect
263,7464,85.43,4,1.76,63.19,8,0.43,3.41,1,87.88,1,3733.33,34,1.24,377.95,Non Defect
263,19281,99.26,2,3.95,64.83,9,3.06,4.81,1,99.39,8,4788.82,14,6.63,185.27,Defect
264,19491,97.34,4,1.46,73.08,13,2.54,2.33,6,82.13,8,4798.73,31,2.31,258.25,Non Defect
264,9386,97.14,4,2.46,63.68,18,2.53,6.58,6,96.54,3,1611.34,19,4,385.89,Non Defect
264,18923,91.11,3,1.68,75.75,15,0.01,8.28,8,82.36,3,3579.94,29,8.77,214.27,Non Defect
264,9156,98.91,0,1.95,77.12,22,3.07,8.57,9,96.46,4,4892.52,39,2.54,262.33,Defect
265,19197,87.53,2,2.27,93.43,15,1.93,9.48,1,96.84,6,1741.29,10,7.68,101.92,Non Defect
265,8500,90.64,3,4.53,81.02,2,3.13,4.65,4,96.32,0,4663.61,48,8.17,351.52,Non Defect
265,15721,97.51,4,1.11,64.42,13,4.37,4.97,2,81.9,2,2031.41,29,9.32,291.99,Defect
266,14294,86.52,3,1.95,69.66,21,4.28,4.49,7,83.9,2,3762.44,35,3.19,298.68,Non Defect
266,14860,90.66,0,1.54,78.73,22,2.86,5.68,2,95.99,3,4899.28,17,7.24,277.57,Non Defect
266,15375,89.03,5,1.26,80.42,6,4.59,7.86,7,90.39,4,4789.62,48,3.85,137.44,Defect
266,19175,86.33,5,2.32,87.21,7,4.75,6.24,7,92.22,7,1906.99,31,5.21,253.35,Non Defect
266,9932,93.08,2,0.92,92.55,11,0.63,7.81,8,94.88,6,3105.41,13,8.55,165.8,Non Defect
267,6639,93.84,5,2.69,92.24,18,2.79,4.7,8,82.65,4,1275.1,46,8.82,159.73,Non Defect
267,12407,96.26,1,1.93,99.3,17,0.9,5.16,1,94.01,0,2627.07,38,1.07,266.81,Non Defect
267,9062,81.3,0,3.78,90.93,11,3.8,8.91,2,96.9,3,1182.45,13,2.7,487.83,Non Defect
267,8488,88.6,2,1.23,61.4,5,4.33,3.68,5,80.56,9,2508.2,48,6.54,380.57,Defect
267,17410,83.83,1,3.48,96.67,15,2.14,2.21,2,86.24,4,1024.41,46,4.02,192.31,Non Defect
268,19547,88.45,0,4.76,89.17,21,4.05,7.37,1,90.37,3,1132.14,21,8.29,356.21,Defect
269,10815,91.77,1,2.99,62.4,17,1.61,3.98,6,81.12,7,4594.75,33,2.1,464.19,Non Defect
269,9162,84.57,5,0.73,82.54,15,3.12,5.3,6,82.54,0,1851,34,8.89,449.22,Non Defect
269,10769,81.49,2,3.45,70.28,7,4.99,4.18,4,84.95,6,4548.39,10,9.56,157.19,Defect
269,19015,89.64,2,3.39,73.66,0,0.72,8.19,0,81.14,3,2135.55,28,2.62,156.49,Non Defect
270,11934,89.35,4,1.59,74.03,5,1.9,9.57,0,85.92,6,3043.32,40,3.5,282.5,Non Defect
270,10810,92.98,1,3.45,86.27,8,3.89,6.95,10,95.3,1,1979.22,34,2.19,493.28,Non Defect
271,12231,88.7,0,3.97,62.45,19,4.85,2.47,10,87.82,6,1207.69,46,6.93,217.42,Non Defect
271,5206,89.16,3,1.83,70.9,14,1.12,8.64,4,88.38,6,1808.18,12,6.6,373.6,Non Defect
271,13569,84.54,3,3.68,88.98,6,0.07,4.2,9,95.38,8,2675.87,13,5.48,382.83,Non Defect
271,5302,84.39,0,0.64,62.99,16,0.26,8.83,2,99.4,5,4383.42,42,5.99,316.88,Non Defect
271,6689,80.99,3,4.35,89.24,7,2.97,9.6,4,88.11,6,4344.67,19,7.01,356.6,Non Defect
271,12770,85.97,4,1.24,63.98,0,0.34,2.23,7,96.28,9,2924.81,26,5.07,424.53,Defect
272,14775,95.56,0,4.25,67.35,12,1.16,5.84,8,95.92,8,3969.79,22,6.85,350.07,Non Defect
272,12785,94.65,0,3.88,75.86,18,4.64,2.96,10,90.01,5,1449.94,31,4.3,298.37,Defect
272,11122,99.01,4,1.01,94.19,8,1.38,7.52,1,93.04,9,1068.9,39,7.01,413.1,Non Defect
272,18638,86.73,1,4.39,77.65,17,3.93,9.54,0,97.81,4,3834.25,35,9.64,107.32,Non Defect
272,16397,88.05,0,1.1,81.1,11,2.21,9.17,1,88.55,4,2700.6,37,8.67,349.19,Non Defect
272,6852,91.26,3,3.6,70.17,20,0.25,6.56,0,96.42,5,4175.33,14,7.38,110.08,Non Defect
273,6339,94.64,5,3.68,78.09,19,1.69,2.39,6,98.18,3,1661.44,16,3.66,488.78,Non Defect
274,8894,90.82,3,2.28,87.85,2,0.92,3.6,7,81.86,4,4909.97,12,3.13,377,Non Defect
274,6067,91.32,4,2.42,67.23,10,1.79,3.58,5,88.22,6,1961.03,14,6.15,348.39,Non Defect
275,11844,93,2,3.04,67.02,23,4.59,6.13,1,88.85,0,3939.47,29,4.69,369.91,Non Defect
275,14846,80.37,5,1.41,63.83,12,1.38,6.72,3,82.07,9,3006.47,13,9.78,326.8,Non Defect
276,8390,81.4,1,4.44,98.94,0,0.72,4.13,1,98.95,5,2924.4,12,3.9,408.55,Non Defect
276,11683,90.92,0,2.95,60.89,2,3.88,2.09,7,89.15,0,1775.38,25,6.2,304.63,Defect
276,14812,91.38,2,1.59,78.95,23,4.09,7.39,2,95.91,4,3387.09,34,3.09,382.54,Non Defect
277,10485,92.9,3,2.4,84.71,14,3.42,5.88,7,96.08,0,4075.83,33,6.48,241.69,Non Defect
277,19964,97.93,4,2.59,99.74,13,3.16,8.1,5,92.35,8,2537.23,13,2.8,310,Defect
277,13574,99.95,2,4.4,91.47,1,0.94,3.11,8,90.02,6,2707.96,12,4.02,167.41,Non Defect
278,18145,82.29,2,4.6,78.63,14,1.43,3.57,0,94.33,1,4666.37,13,9.7,149.21,Non Defect
278,14307,91.24,3,0.67,78.55,15,1.79,2.55,7,99.22,9,4555.36,25,7.54,352.82,Non Defect
279,13001,93.54,0,4.55,86.92,20,2.93,4.22,5,91.41,4,4679.25,13,7.26,241.36,Non Defect
279,18356,81.56,5,1.88,83.11,7,1.47,6.18,10,96.35,9,4421.53,35,3.62,285.04,Defect
279,7848,95.68,4,4.28,73.03,12,2.73,3.52,9,82.04,1,3912.93,30,9.88,295.01,Non Defect
280,9402,96.56,3,1.17,78.32,10,4.44,5.62,1,90.89,7,4985.79,35,6.57,414.86,Non Defect
281,8180,99.05,0,3.11,62.48,7,2.61,7.68,4,83.51,7,2959.53,44,6.2,482.53,Non Defect
281,17057,92.14,3,1.89,77.36,20,4.9,8.14,3,85.64,5,4982.33,41,9.7,196.03,Defect
281,16134,80.12,4,4.9,64.14,8,4.68,5.19,3,88.3,4,1171.55,25,9.57,434.53,Non Defect
281,18937,90.55,0,4.91,70.91,22,3.08,7.2,2,92.43,7,4542.43,12,5.21,468.51,Non Defect
282,11248,97.52,0,0.52,71.61,20,1.84,3.49,4,99.32,5,2150.58,12,3.11,142.75,Non Defect
282,5992,93.96,1,4.35,84.41,18,0.77,7.83,10,96.07,5,3718.69,45,2.19,115.25,Non Defect
282,7207,87.92,2,2.82,96.09,6,0.82,3.93,2,98.3,6,4914.79,40,4.5,365.8,Defect
282,16159,88.72,1,2.4,61.16,10,2.38,5.98,7,88.94,7,1509.51,18,3.24,268.65,Non Defect
282,5551,84.02,2,1.35,89.76,3,0.3,2.14,1,92.29,4,3182.94,17,1.75,103.21,Defect
283,12413,91.42,3,3.91,75.38,2,2.33,8.16,5,85.37,6,2230.79,16,5.69,222.3,Non Defect
283,6067,99.99,2,2.79,89.59,17,1.97,9.19,10,96.64,2,2864.3,36,6.83,249.18,Non Defect
283,14076,99.8,2,2.36,60.81,6,4.84,6.12,9,95.9,9,1359.45,19,7.17,143.12,Non Defect
284,11212,94.5,5,3.37,99.85,14,2.92,4.86,9,93.96,4,3544.22,44,7.04,422.02,Non Defect
285,9143,94.72,1,1.17,97.37,17,1.35,9.39,9,97.03,9,1691.63,24,3.56,274.21,Non Defect
285,18670,90.25,4,2.72,77.26,8,0.72,9.73,8,94.03,3,3554.66,45,8.85,455.37,Defect
286,12069,86.96,0,4.66,72.98,18,0.94,4.76,8,91.23,8,3985.76,29,8.52,257.98,Non Defect
286,11876,88.67,1,0.87,85.2,7,4.52,9.15,1,91.85,1,3363.81,48,5.81,438.56,Non Defect
286,7859,91.59,0,4.01,69.79,1,3.31,6.62,6,84.89,2,1547.11,44,8.77,439.84,Defect
287,18091,84.57,5,4.52,78.65,13,3.25,2.95,6,82.38,9,4603.61,29,8.53,238.95,Non Defect
287,16592,84.21,1,4.15,71.55,17,1.98,8.95,10,97.04,5,1244.37,49,3.98,186.87,Non Defect
288,10783,91.6,0,4.95,78.31,13,2.29,8.92,5,92.48,3,4344.12,33,4.75,446.5,Non Defect
289,9904,92.47,1,4.3,60.37,14,2.25,7.27,5,98.86,0,3965.05,12,2.5,109.58,Non Defect
289,18638,99.98,0,4.45,60.38,16,0.59,2.61,8,85.98,1,4788.13,16,4.77,166.25,Non Defect
289,14784,81.54,2,3.78,74.33,0,2.16,7.67,0,91.94,2,2306.45,36,7.02,473.31,Non Defect
289,17124,99.31,5,1.62,74.86,14,4.01,3.26,9,88.14,7,1535.2,40,6.85,140.35,Non Defect
289,5220,83.5,1,4.78,74.2,17,0.21,2.83,6,80.09,8,4482.57,45,9.03,441.12,Non Defect
289,7190,81.66,3,1.71,80.23,3,2.05,9.5,7,81.4,9,1894.15,27,3.66,444.63,Non Defect
289,13876,99.52,4,2.64,67.46,10,1.42,8.39,6,92.11,2,1243.02,13,6.12,477.71,Non Defect
290,6708,85.15,1,4.76,98.35,5,1.67,6.24,1,93.28,3,1541.78,34,3.39,134.31,Non Defect
290,10060,84.91,5,1.15,67.23,1,4.85,2.02,2,92.87,5,1830.4,12,6.08,195.04,Non Defect
290,14531,85.56,4,2.69,91.94,18,1.62,8.42,5,90.16,7,1732.49,16,8.84,210.07,Non Defect
291,11022,90.29,4,3.87,95.06,19,3.5,6.05,10,90.81,1,4373.02,42,3.48,405.95,Non Defect
291,7100,90.57,5,4.68,98.78,17,1.31,6.95,6,88.86,6,1771.3,24,7.33,185.66,Defect
291,6329,80.34,3,1.53,79.86,19,1.94,6.26,9,89.88,6,2887.74,22,7.78,264.54,Non Defect
291,6976,87.57,0,4.99,66.41,12,0.71,8.06,6,81.72,8,4629.23,13,6.73,315.74,Defect
291,7445,90.04,4,0.66,86.49,15,3.3,4.2,1,84.3,7,2424.51,32,7.36,339.72,Non Defect
291,10926,97.47,5,1.1,98.19,15,3.3,6.86,4,83.57,3,3200.09,27,8.24,143.03,Defect
292,13490,93.81,3,1.3,99.71,12,1.4,5.56,0,87.2,7,4063.36,15,2.09,287.44,Non Defect
293,7504,96.6,5,2.56,84.46,2,0.43,4.88,5,92.78,4,1364.53,41,8.49,347.87,Non Defect
293,16048,92.36,2,4.93,74.97,14,2.26,8.88,9,80.4,7,2291.61,28,9.37,205.59,Non Defect
293,5505,96.37,1,4.92,95.63,20,2.64,4.59,7,85.69,3,4279.29,40,9.96,253.76,Non Defect
293,7149,83.94,1,4.54,87.86,13,2.16,6.53,10,97.93,7,4093.98,47,1.53,204.9,Non Defect
294,18644,95.04,0,4.37,90.26,2,0.19,2.87,7,98.57,5,1712.43,24,3.92,316.74,Non Defect
294,19503,81.26,1,3.41,77.87,2,1.13,5.34,0,97.76,2,3989.37,23,6.82,153.88,Non Defect
294,14946,80.65,1,3.56,60.68,14,4.28,6.77,9,89.79,1,4926.17,34,9.54,353.58,Non Defect
294,10715,87.3,5,1.1,75.05,10,3.63,8.97,7,99.54,3,3789.46,45,6.48,482.56,Non Defect
295,10618,95.13,3,4.11,62.61,9,1.04,4.42,5,93.56,3,1523.64,27,6.64,247.45,Non Defect
295,5133,85.36,2,1.19,95.89,22,0.15,8.59,3,92.99,0,1539.95,12,5.27,314.82,Defect
295,6763,83.82,5,3.36,62.29,1,0.66,3.02,7,85.9,6,4512.68,28,4.73,188.98,Non Defect
295,6262,95.6,5,2.53,83.57,21,4.05,9.52,7,88.7,1,1885.81,41,8.66,374.77,Defect
295,10119,93.1,5,1.13,97.64,18,2.38,8.69,3,94.25,7,4053.34,25,4.28,487,Non Defect
297,10219,89.16,3,2.72,90.82,12,0.85,7.34,5,80.97,5,1719.95,49,8.24,252.81,Non Defect
297,9901,90.3,3,2.89,72.14,22,4.23,9.47,3,99.35,0,1136.39,26,1.36,405.48,Non Defect
297,11598,82.96,5,4.73,82.2,17,3.55,7.91,9,88.59,3,4471.06,35,1.78,131.79,Non Defect
298,9342,81.07,5,1.13,70.38,18,4.85,8.34,3,99.49,5,1109.72,46,3.5,465.72,Non Defect
299,9372,95.38,3,3.15,72,13,4.79,4.83,7,93.04,8,1061.62,13,4.02,240.06,Non Defect
299,12876,80.32,5,4.32,84.85,11,5,4.68,10,97.63,8,4666.69,14,7.73,126.43,Non Defect
299,7297,91.03,2,2.84,70.16,3,1.19,2.5,4,95.4,7,2528.41,50,2.91,494.47,Non Defect
300,5980,89.14,0,1.47,65.57,15,3.95,6.5,7,86.87,9,2510.31,37,7.84,109.16,Non Defect
300,10286,99.16,2,2.78,95.21,6,3.23,8.85,1,89.44,5,4811.69,10,7.86,283.45,Non Defect
300,14539,96.45,4,0.83,74.84,15,3.33,9.63,7,88.29,8,3184.32,36,4.72,423.69,Non Defect
300,7950,84.76,5,3.33,66.12,23,2.94,3.83,5,96.99,4,4720.61,11,1.64,232.2,Non Defect
300,19272,98.63,4,2.91,76.3,15,1.11,9.19,4,97.5,4,2970.87,20,9.96,433.78,Non Defect
301,14543,87.74,4,1.81,71.88,19,3.68,6.63,7,97.15,3,3641.34,37,7.89,449.12,Non Defect
301,11964,88.84,5,2.24,94.31,11,3.71,4.99,7,88.99,4,3576.64,29,8.7,387.42,Non Defect
301,19485,97.13,3,3.11,99.48,3,1.73,9.16,8,85.95,1,2567.88,44,5.25,343.72,Non Defect
302,10367,99.34,0,3.4,86.14,11,1.38,9.32,8,87.18,8,1343.44,47,5.58,260,Non Defect
302,6883,80.39,1,3.78,94.12,23,1.48,3.52,4,90.32,9,3797.96,25,2.98,132.49,Non Defect
302,13664,91.09,1,4.06,95.76,6,0.07,2.78,4,88.49,6,1534.79,22,3.78,203.77,Defect
303,11661,88.96,5,2.48,93.73,18,2.43,8.73,2,96.08,4,1582.74,40,8.9,197.15,Non Defect
303,16752,94.08,5,4.17,79.91,7,4.08,4.82,8,89.45,6,2042.55,19,6.26,437.55,Non Defect
304,7274,80.36,3,4.2,67.47,15,2.95,8.57,9,93.87,7,4518.31,20,8.95,324.03,Non Defect
305,10014,96.59,2,2.32,77.05,12,1.82,4.22,6,86.83,6,3274.85,14,4.59,183.8,Non Defect
305,13343,89.86,3,0.83,90.4,20,4.55,8.34,2,85.67,8,3424.32,25,6.15,477.84,Non Defect
305,8245,94.11,5,4.76,72.11,17,2.61,8.55,0,92.6,9,2877.92,25,7.89,499.98,Non Defect
305,18579,84.55,0,4.03,88.7,1,0.4,6.99,1,95.12,8,3110.96,22,8.52,111.79,Non Defect
306,6711,83.32,2,2.17,94.47,10,4.13,6.2,6,93.7,3,4501.11,29,5.5,282.66,Defect
306,10379,80.42,2,4.35,81.07,17,4.76,2.66,1,83.29,0,2945.93,24,3.7,431.79,Non Defect
306,17749,92.79,0,2.3,60.69,1,4.97,2.54,7,87.44,9,3981.38,46,5.64,335.16,Non Defect
307,17074,84.78,2,4.6,71.3,2,2.8,7.8,6,88.41,1,1667.28,33,8.9,188.88,Defect
307,16069,89.7,3,3.8,73.08,1,3.32,5.32,8,86.62,6,1906.04,29,2.19,468.26,Non Defect
307,8817,85.56,0,4.83,99.87,13,4.59,8.74,4,87.9,6,1647.66,23,9.13,399.77,Non Defect
307,12808,86.74,0,0.66,67.21,6,0.94,5.89,6,94.98,1,2108.82,24,7.89,141.56,Non Defect
308,14103,84.47,1,3.18,96.81,0,0.25,8.28,7,98.71,9,2911,27,9.98,373.97,Non Defect
308,5708,93.61,0,2.1,80.2,1,3.15,3.83,3,87.56,6,3459.01,25,9.94,304.26,Non Defect
309,13410,98.3,0,3.6,66.77,14,0.02,8.3,9,84.68,9,3223.78,24,3.64,190.97,Non Defect
309,16498,83.68,0,3.15,61.91,21,4.62,3.3,1,95.55,3,4743.67,34,2.72,235.41,Non Defect
309,11294,95.32,3,3.81,63.38,1,1.21,7.17,7,91.62,6,2740.43,22,3.32,277.01,Non Defect
310,16652,84.32,4,4.38,61.52,18,2.44,4.64,9,80.99,6,4874.23,48,1.07,217.66,Defect
311,5778,81.72,4,1.55,89.58,20,4.19,9.42,4,92.31,3,3182.3,31,7.53,116.57,Non Defect
312,19640,84.69,5,1.6,90.72,13,3.75,9.38,5,84.15,1,1564.21,19,6.91,413.16,Non Defect
312,13018,82.06,2,4.01,60.49,17,1.95,6.72,4,96.36,6,1781.54,12,7.52,135.79,Defect
312,18747,83.63,0,4.86,80.87,3,1.08,9.57,7,81.52,4,1094.13,24,6.18,132.4,Defect
313,12633,85.94,5,4.57,93.42,0,4.12,2.46,9,94.52,6,3746.6,19,2.41,467.89,Defect
313,10120,97.23,0,3.45,97.51,11,2.08,5.77,8,90.18,5,2630.4,49,5.04,342.32,Defect
314,15992,85.7,0,0.91,82.75,3,4.18,3.55,5,97.9,6,2449.98,40,3.85,159.56,Non Defect
314,16114,97.28,0,1.77,79.8,14,4.15,9.43,2,86.82,2,1393.84,30,7.74,292.38,Non Defect
314,19086,90.47,1,3.04,84.66,1,3.83,4.07,2,86.72,6,1154.95,15,9.42,271.48,Defect
315,16017,87.01,5,3.26,60.91,13,4.27,2.42,2,94.14,0,3886.13,34,6.96,376.97,Non Defect
315,8335,95.33,0,1.06,96.45,22,0.15,9.51,1,97.74,5,1007.48,39,5.4,104.63,Non Defect
315,14410,99.16,0,4.95,96.45,5,0.9,6.2,6,94.11,5,2658.72,19,8.48,447.21,Non Defect
315,8398,98.6,1,2.07,95.29,1,0.16,7.6,0,99.15,2,3181.54,43,1.62,272.76,Non Defect
315,10929,94.41,1,1.91,95.91,12,3.15,7.77,1,90.87,5,4737.6,15,9.39,137.17,Non Defect
315,10297,93.5,2,1.22,87.62,2,4.16,2.41,6,94.73,1,4500.63,35,2.67,160.6,Non Defect
315,11052,88.96,1,2.26,84.58,23,1.31,9.83,8,95.75,1,4508.86,16,8.13,138.24,Non Defect
316,8889,88.89,4,1.69,98.04,19,1.56,7.65,0,83.7,9,4511.4,35,4.63,179.46,Defect
316,16918,85.99,5,4.62,61.6,15,1.75,4.44,3,85.98,8,4349.67,48,3.46,414.96,Non Defect
316,11491,96.02,1,2.79,65.06,1,4.1,7.38,7,95.77,2,3876.76,32,5.2,424.15,Non Defect
316,16897,81.98,2,4.53,73.82,9,0.58,8.36,9,89.16,8,4083.68,31,8.63,361.69,Non Defect
316,14925,99.36,3,3.94,74.57,16,2.12,3.58,9,88.63,1,1071.93,22,4.97,469.61,Non Defect
316,14472,81.48,4,3.83,63.88,3,4.05,7.62,4,98.92,5,4091.01,20,1.84,490.16,Non Defect
316,15914,87.96,2,3.7,61.43,11,1.53,6.84,3,90.72,8,4939.61,13,7.16,380.07,Non Defect
317,14813,86.1,0,4.8,62.81,19,0.07,2.96,3,91.83,0,4528.01,31,4.39,297.89,Non Defect
317,14394,88.11,5,3.86,98.08,23,2.97,5.51,8,94.07,9,4812.97,37,9.49,406.9,Non Defect
317,16891,81.7,4,0.59,67.84,0,2.9,8.57,8,99.91,7,2179.7,18,5.61,253.36,Non Defect
317,11960,99.69,2,4.45,67.09,0,1.39,4.18,6,95.83,6,2777.46,45,2.85,482.17,Non Defect
317,19397,97.79,5,2.83,60.69,0,4.64,7.46,10,82.12,9,3594.23,37,6.66,195.38,Non Defect
317,17036,98.8,0,1.49,86.46,16,2.2,2.14,5,83.54,9,3257.94,47,6.35,107.24,Non Defect
319,11412,83.41,4,4.19,95.53,18,1.31,9.52,3,83.25,9,2571.44,35,8.65,430.51,Non Defect
319,7941,85.85,5,1.51,79.57,4,4.31,4.87,9,95.64,2,3993.2,50,2.33,176.28,Non Defect
319,9054,84.66,0,2.45,74.08,19,3.66,2.67,7,81.64,0,1646.32,47,3.8,119.79,Defect
319,14672,88.13,5,3.78,94.09,10,2.2,2.86,1,90.95,7,1692.21,26,5.55,414.55,Defect
319,6151,81.44,2,2.95,69.75,3,4.99,2.1,0,92.68,9,4215.98,12,3.59,145.89,Non Defect
319,18196,99.73,0,1.55,62.74,9,3.52,3.65,2,94.6,6,1005.45,21,6.27,138.75,Non Defect
319,15789,80.44,2,3.08,66.68,15,0.46,3.46,2,90.85,8,3453.13,24,7.41,231.75,Non Defect
320,10332,88.95,1,4.72,66.19,16,3.14,2.89,0,94.16,8,4746.06,47,9.99,395.45,Non Defect
320,8562,93.27,3,2.19,85.92,15,2.69,2.78,9,95.39,9,4843.9,44,6.76,240.29,Non Defect
321,5585,91.12,5,1.98,93.32,4,3.37,3.38,1,99.42,9,2728.19,11,2.23,101.8,Non Defect
321,11272,90.03,4,2.62,72.92,18,2.85,2.4,6,81.21,1,1131.02,37,3.79,211.07,Non Defect
321,8597,88.82,0,4.97,71.87,2,0.79,2.69,7,86.61,6,2276.62,21,3.79,219.31,Defect
322,18050,86.03,5,3.6,72.18,22,2.47,3.72,0,91.81,2,4657.09,32,4.64,214.73,Non Defect
322,5940,90.12,0,3.04,64.14,6,0.24,4.93,6,98.55,6,2806.56,28,6.46,342.77,Non Defect
322,9011,88.86,4,1.07,76.45,7,2.99,6.54,3,86.2,4,4287.37,28,5.1,451.13,Non Defect
322,5744,99.56,3,2.04,66.68,4,0.36,4.27,6,86.66,8,2173.75,35,7.83,111.38,Defect
322,11003,88.22,4,1.47,63.35,14,0.6,7.17,3,85.21,4,2067.95,41,2.31,418.65,Non Defect
322,15932,90.55,2,2.46,75.62,12,0.7,4.17,8,97.29,8,2276.01,20,3.42,422.16,Non Defect
322,13117,82.35,1,2.93,63.5,15,3.2,4.22,2,95.18,3,1091.6,36,5.79,373.03,Non Defect
322,12914,80.28,2,1.81,62.53,12,1.19,4.21,4,93.98,6,1103.6,24,5.47,118.48,Defect
323,5658,82.65,0,4.04,94.9,10,4.53,7.59,3,93.57,7,2537.04,35,5.51,458.88,Non Defect
323,10320,96.71,4,3.22,60.64,11,2.01,7.79,4,93.74,7,1144.74,48,8.78,224.33,Non Defect
323,19675,97.8,3,0.66,88.52,3,3.03,8.71,3,93.92,6,4477.65,44,4.79,211.89,Non Defect
323,9608,81.94,4,2.47,79.82,9,1.76,6.41,0,97.66,1,2255.04,43,2.07,105.35,Non Defect
324,13081,81.1,0,4.4,71.35,4,2.07,4.45,10,84.23,6,3405.38,16,4.33,340.68,Non Defect
324,10940,80.12,5,3.67,86.08,0,3.99,7.54,9,96.49,0,3639.67,41,5.02,294.45,Non Defect
324,12911,95.64,0,2.34,71.55,3,0.74,4.8,4,82.39,5,4872.63,46,4.44,254.7,Non Defect
324,15087,94.9,1,4.59,87.32,2,2.83,4.61,7,91.56,3,1926.27,14,7.68,223.62,Non Defect
324,10307,95.34,5,1.8,69.04,16,3.02,4.14,4,95.03,7,4623,22,3.2,355.03,Non Defect
324,12504,80.84,1,2.61,68.32,6,0.55,4.39,1,95.41,7,3900.44,47,7.5,457.16,Non Defect
325,10768,98.55,3,2.45,97.29,19,3.69,7.57,1,87.84,5,3454.9,15,2.29,160.68,Non Defect
325,14145,94.18,5,2.06,86.25,18,4.53,5.79,1,90.79,5,4491.18,18,9.77,387.32,Non Defect
325,7466,84.82,0,0.72,87.4,10,0.1,4.4,4,94.88,2,2019.59,49,6.09,186.63,Non Defect
325,6567,89.87,2,3.63,69.28,1,2.02,4.53,9,87.63,6,4919.74,50,7.79,115.6,Non Defect
325,12974,86.71,5,3.45,86.67,5,3.99,4.58,5,82.63,3,1136.16,24,3.38,477.3,Non Defect
325,16178,92.11,1,1.34,95.46,0,4.79,3.72,10,94.68,8,3462.28,37,8.69,127.72,Non Defect
325,10205,96.57,5,1.5,89.6,17,1.95,5.26,7,98.12,5,3565.97,22,8.63,391.92,Defect
326,9519,95.55,4,0.86,71.2,20,1.77,3.25,7,88.25,4,4933.98,27,7.16,400.57,Non Defect
326,6803,86.77,4,4.65,88.35,15,4.74,8.41,8,86.55,3,1360.7,28,9,156.53,Non Defect
326,15008,88.53,4,3.27,62.19,17,0.73,5.43,4,98.11,6,1143.55,32,2.76,275.44,Non Defect
326,9596,85.06,2,3.82,73.67,23,1.12,7.44,8,81.4,9,1341.54,22,4.12,190.43,Non Defect
326,17177,81.9,1,2.63,92.99,4,2.89,9.94,9,80.86,5,2704.13,24,8.38,457.62,Defect
327,6025,96.73,4,1.57,96.29,22,1.35,8.36,2,85.1,0,2071.43,30,6.07,155.19,Non Defect
327,10314,81.41,2,3.54,70.67,12,4.4,6.25,7,90.87,0,4974.18,32,3.84,268.44,Non Defect
327,17818,80.49,5,4.44,98.66,11,1.56,2.16,9,94.11,3,1025.61,41,5.51,145.03,Non Defect
328,16552,99.31,0,4.92,85.24,3,3.34,6.52,10,99.78,9,1256.31,49,7.97,166.06,Non Defect
328,14849,88.38,0,2.22,81.49,9,4.16,8.74,1,94.74,5,3872.53,16,2,134.09,Non Defect
328,14355,95.56,0,1.37,77.27,9,3.62,4.96,2,84.23,9,3967.69,31,5.39,457.05,Non Defect
